Day,Date,Total Square,Total Cash CAD,Total CAD from USD,Total Cash (USD),Total CAD,Total Visitors,Long Weekend,Sponsorship Weekend,Cruise Ship Day,Rainy Day,Classroom Visits,Cruise,Local,Northwest BC,Other,D/n pay - Family Pass,D/n pay- No $,Unwilling to pay/walked away,Babies (0-3yrs),Child (4-12 yrs),Youth (13-18 yrs),Adult/Seniors,Sponsors,Comments
-Monday-,May-27-24,$44.00,$16.80,$0.00,$0.00,$60.80,27,,,,,Y,0,0,15,12,0,0,0,0,0,24,3,0,Only open 1pm to 5pm for class visit from Terrace with exchange students from Quebec
-Thursday-,May-30-24,$44.80,$16.20,$0.00,$0.00,$61.00,6,,,,,,0,2,0,4,0,0,0,0,0,0,6,0,
-Friday-,May-31-24,$123.20,-$6.30,$126.96,$92.00,$243.86,18,,,Y,,,13,5,0,0,0,0,9,2,2,2,12,0,Carnival Miracle in Port today
-Saturday-,Jun-1-24,$140.06,$134.30,$0.00,$0.00,$274.36,50,,,,,,0,38,2,8,2,0,4,5,15,0,28,0,GRAND OPENING!
-Sunday-,Jun-2-24,$22.98,$33.00,$0.00,$0.00,$55.98,17,,,,,,0,8,0,6,3,0,0,3,2,0,9,0,
-Tuesday-,Jun-4-24,$19.98,$15.00,$20.70,$15.00,$55.68,15,,,Y,,,10,4,0,1,0,0,0,0,0,0,15,0,Seabourn Odyssey in Port today
-Thursday-,Jun-6-24,$162.77,$93.25,$0.00,$0.00,$256.02,61,,,,,Y,0,52,0,9,0,0,0,3,27,14,17,0,3 classroom visits today (all classroom payments entered as DONATIONS with no tax**
-Friday-,Jun-7-24,$130.97,$27.75,$0.00,$0.00,$158.72,75,,,,,Y,0,62,4,9,0,0,4,6,42,4,23,0,2 classroom visits today (all classroom payments entered as DONATIONS with no tax**
-Saturday-,Jun-8-24,$65.95,$167.00,$0.00,$0.00,$232.95,54,,,,,,0,29,21,4,0,0,6,2,18,7,27,0,Sea Fest - Day 1
-Sunday-,Jun-9-24,$337.71,$338.20,$0.00,$0.00,$675.91,88,,,,,,0,64,13,11,0,0,3,7,40,4,37,1,Sea Fest - Day 2
-Tuesday-,Jun-11-24,$90.60,$22.10,$42.78,$31.00,$155.48,37,,,Y,,Y,10,24,0,3,0,0,0,1,23,2,6,0,"Did a deposit, Carnival Miracle in Port today, 1 classroom visit today (all classroom payments entered as DONATIONS with no tax**"
-Thursday-,Jun-13-24,$62.99,$9.90,$0.00,$0.00,$72.89,66,,,,,Y,0,61,2,3,0,0,0,0,53,0,13,0,3 classes came down
-Friday-,Jun-14-24,$34.01,$11.55,$28.98,$21.00,$74.54,13,,,Y,,,11,2,0,0,0,0,1,0,5,0,7,0,Crown Princess in Port today
